case_id,category,text,redacted_text,expected_canonical,baseline_canonical,post_processed_canonical,baseline_matched,post_processed_matched
V15R048,short-person-answer-noisy,nm pmlk reknya tri,nm pmlk reknya [PER1],nm pmlk reknya [token-ent],nm pmlk reknya [token-ent],nm pmlk reknya [token-ent],true,true
V15R049,short-person-answer-noisy,nama pnerimanya rini baswedan,nama pnerimanya [PER1],nama pnerimanya [token-ent],nama pnerimanya [token-ent],nama pnerimanya [token-ent],true,true
V15R050,short-person-answer-noisy,nm pmlk rekeningnya wahyu,nm pmlk rekeningnya [PER1],nm pmlk rekeningnya [token-ent],nm pmlk rekeningnya [token-ent],nm pmlk rekeningnya [token-ent],true,true
V15R051,short-person-answer-noisy,pmlk rek tujuan joko baswedan,pmlk rek tujuan [PER1],pmlk rek tujuan [token-ent],pmlk rek tujuan [token-ent],pmlk rek tujuan [token-ent],true,true
V15R052,short-person-answer-noisy,pmlk rek tujuan michael nugroho widjaja,pmlk rek tujuan [PER1],pmlk rek tujuan [token-ent],pmlk rek tujuan [token-ent],pmlk rek tujuan [token-ent],true,true
V15R053,short-person-answer-noisy,atas nm christian,atas nm [PER1],atas nm [token-ent],atas nm [token-ent],atas nm [token-ent],true,true
V15R054,short-person-answer-noisy,a.n jason,[PER1],a.n [token-ent],[token-ent],[token-ent],false,false
V15R055,short-person-answer-noisy,nama pnerimanya joko setiawan baswedan,nama pnerimanya [PER1],nama pnerimanya [token-ent],nama pnerimanya [token-ent],nama pnerimanya [token-ent],true,true
V15R056,short-person-answer-noisy,nama pnerimanya eko rahayu gunadi,nama pnerimanya [PER1],nama pnerimanya [token-ent],nama pnerimanya [token-ent],nama pnerimanya [token-ent],true,true
V15R057,short-person-answer-noisy,nm pmlk rekeningnya tri,nm pmlk rekeningnya [PER1],nm pmlk rekeningnya [token-ent],nm pmlk rekeningnya [token-ent],nm pmlk rekeningnya [token-ent],true,true
V15R058,short-person-answer-noisy,pmlk rek tujuan endang siahaan,pmlk rek tujuan [PER1],pmlk rek tujuan [token-ent],pmlk rek tujuan [token-ent],pmlk rek tujuan [token-ent],true,true
V15R059,short-person-answer-noisy,nm pmlk rekeningnya wahyu surya,nm pmlk rekeningnya [PER1],nm pmlk rekeningnya [token-ent],nm pmlk rekeningnya [token-ent],nm pmlk rekeningnya [token-ent],true,true
V15R060,short-person-answer-noisy,nm pmlk rekeningnya eko lumentut,nm pmlk rekeningnya [PER1],nm pmlk rekeningnya [token-ent],nm pmlk rekeningnya [token-ent],nm pmlk rekeningnya [token-ent],true,true
V15R061,short-person-honorific,Kak Budi Sudibyo.,Kak [PER1].,Kak [token-ent].,Kak [token-ent].,Kak [token-ent].,true,true
V15R062,short-person-honorific,Bu Iwan Liem.,Bu [PER1].,Bu [token-ent].,Bu [token-ent].,Bu [token-ent].,true,true
V15R063,short-person-honorific,Bang Jessie Putri.,Bang [PER1].,Bang [token-ent].,Bang [token-ent].,Bang [token-ent].,true,true
V15R064,short-person-honorific,Bp. Kevin Rahayu Putri.,Bp. [PER1].,Bp. [token-ent].,Bp. [token-ent].,Bp. [token-ent].,true,true
V15R065,short-person-honorific,Bapak Slamet Latuconsina.,Bapak [PER1].,Bapak [token-ent].,Bapak [token-ent].,Bapak [token-ent].,true,true
V15R066,short-person-honorific,Bp. Dwi Alexander Chaniago.,Bp. Dwi [PER1].,Bp. [token-ent].,Bp. Dwi [token-ent].,Bp. Dwi [token-ent].,false,false
V15R067,short-person-honorific,Pak Ratna Setiawan Tanjung.,Pak [PER1].,Pak [token-ent].,Pak [token-ent].,Pak [token-ent].,true,true
V15R068,short-person-honorific,kak Jessica Putra.,kak [PER1].,kak [token-ent].,kak [token-ent].,kak [token-ent].,true,true
V15R069,short-person-honorific,Bpk Michelle Jonathan Malaihollo.,Bpk [PER1].,Bpk [token-ent].,Bpk [token-ent].,Bpk [token-ent].,true,true
V15R070,short-person-honorific,Bang Agus Prakoso.,Bang [PER1].,Bang [token-ent].,Bang [token-ent].,Bang [token-ent].,true,true
V15R071,short-person-honorific,mbak Jessica Syahputra.,mbak [PER1].,mbak [token-ent].,mbak [token-ent].,mbak [token-ent].,true,true
V15R072,short-person-honorific,Bapak Ayu Lubis.,Bapak [PER1].,Bapak [token-ent].,Bapak [token-ent].,Bapak [token-ent].,true,true
V15R073,short-person-honorific,Bp. Jason Lestari Putri.,Bp. [PER1].,Bp. [token-ent].,Bp. [token-ent].,Bp. [token-ent].,true,true
V15R074,short-person-honorific,Bang Vanessa Elizabeth Sastro.,[PER1].,Bang [token-ent].,[token-ent].,[token-ent].,false,false
V15R075,short-person-honorific,Kak Siti Nugroho Suwardi.,Kak [PER1].,Kak [token-ent].,Kak [token-ent].,Kak [token-ent].,true,true
V15R076,short-person-honorific,Mas Dwi Kartanegara.,Mas [PER1].,Mas [token-ent].,Mas [token-ent].,Mas [token-ent].,true,true
V15R077,short-person-honorific,mas Jessie Hidayatullah.,mas [PER1].,mas [token-ent].,mas [token-ent].,mas [token-ent].,true,true
V15R078,short-person-honorific,Bang Ratna Lubis.,[PER1].,Bang [token-ent].,[token-ent].,[token-ent].,false,false
V15R079,short-person-honorific,Mbak Daniel Tanjung.,Mbak [PER1].,Mbak [token-ent].,Mbak [token-ent].,Mbak [token-ent].,true,true
V15R080,short-person-honorific,Bang Ayu Angelina Wirasatya.,[PER1].,Bang [token-ent].,[token-ent].,[token-ent].,false,false
V15R081,short-person-rek-owner,Rekening 7714899249 atas nama Jessica Hidayat Sudibyo.,Rekening 7714899249 atas nama [PER1].,Rekening 7714899249 atas nama [token-ent].,Rekening 7714899249 atas nama [token-ent].,Rekening 7714899249 atas nama [token-ent].,true,true
V15R082,short-person-rek-owner,Rekening 7742965679 atas nama Iwan Theodore Pangemanan.,Rekening 7742965679 atas nama [PER1].,Rekening 7742965679 atas nama [token-ent].,Rekening 7742965679 atas nama [token-ent].,Rekening 7742965679 atas nama [token-ent].,true,true
V15R083,short-person-rek-owner,Rekening 7716586884 atas nama Sri Sebastian Kusuma.,Rekening 7716586884 atas nama [PER1].,Rekening 7716586884 atas nama [token-ent].,Rekening 7716586884 atas nama [token-ent].,Rekening 7716586884 atas nama [token-ent].,true,true
V15R084,short-person-rek-owner,No rek 7740303966 atas nama Tri Gunadi.,No rek 7740303966 atas nama [PER1].,No rek 7740303966 atas nama [token-ent].,No rek 7740303966 atas nama [token-ent].,No rek 7740303966 atas nama [token-ent].,true,true
V15R085,short-person-rek-owner,Rekening 7712590336 atas nama Ratna Wirasatya.,Rekening 7712590336 atas nama [PER1].,Rekening 7712590336 atas nama [token-ent].,Rekening 7712590336 atas nama [token-ent].,Rekening 7712590336 atas nama [token-ent].,true,true
V15R086,short-person-rek-owner,"A.n. Brian Tuasikal, no rek 7718847659.","A.n. [PER1], no rek 7718847659.","A.n. [token-ent], no rek 7718847659.","A.n. [token-ent], no rek 7718847659.","A.n. [token-ent], no rek 7718847659.",true,true
V15R087,short-person-rek-owner,Rek 7711846438 milik Vanessa Lubis.,Rek 7711846438 milik [PER1].,Rek 7711846438 milik [token-ent].,Rek 7711846438 milik [token-ent].,Rek 7711846438 milik [token-ent].,true,true
V15R088,short-person-rek-owner,"A.n. Rini Tanjung, no rek 7778932813.","A.n. [PER1], no rek 7778932813.","A.n. [token-ent], no rek 7778932813.","A.n. [token-ent], no rek 7778932813.","A.n. [token-ent], no rek 7778932813.",true,true
V15R089,short-person-rek-owner,Rekening 7724991093 atas nama Bambang Lestari Chaniago.,Rekening 7724991093 atas nama [PER1].,Rekening 7724991093 atas nama [token-ent].,Rekening 7724991093 atas nama [token-ent].,Rekening 7724991093 atas nama [token-ent].,true,true
V15R090,short-person-rek-owner,No. rek 7711571076 a.n. Joko Hidayatullah.,No. rek 7711571076 a.n. [PER1].,No. rek 7711571076 a.n. [token-ent].,No. rek 7711571076 a.n. [token-ent].,No. rek 7711571076 a.n. [token-ent].,true,true
V15R091,short-person-rek-owner,No. rek 7771578507 a.n. Gabriel Josephine Pangemanan.,No. rek 7771578507 a.n. [PER1].,No. rek 7771578507 a.n. [token-ent].,No. rek 7771578507 a.n. [token-ent].,No. rek 7771578507 a.n. [token-ent].,true,true
V15R092,short-person-rek-owner,Rekening 7777551242 atas nama Wati Josephine Hartono.,Rekening 7777551242 atas nama [PER1].,Rekening 7777551242 atas nama [token-ent].,Rekening 7777551242 atas nama [token-ent].,Rekening 7777551242 atas nama [token-ent].,true,true
V15R093,short-person-rek-owner,No rek 7750318610 atas nama William.,No rek 7750318610 atas nama [PER1].,No rek 7750318610 atas nama [token-ent].,No rek 7750318610 atas nama [token-ent].,No rek 7750318610 atas nama [token-ent].,true,true
V15R094,short-person-rek-owner,Rekening 7720328856 atas nama Albert.,Rekening 7720328856 atas nama [PER1].,Rekening 7720328856 atas nama [token-ent].,Rekening 7720328856 atas nama [token-ent].,Rekening 7720328856 atas nama [token-ent].,true,true
V15R095,short-person-rek-owner,No. rek 7735893435 a.n. Jessie Nicholas Gunadi.,No. rek 7735893435 a.n. [PER1].,No. rek 7735893435 a.n. [token-ent].,No. rek 7735893435 a.n. [token-ent].,No. rek 7735893435 a.n. [token-ent].,true,true
V15R096,short-person-rek-owner,No rek 7762329642 atas nama Natasha Purnama Baswedan.,No rek 7762329642 atas nama [PER1].,No rek 7762329642 atas nama [token-ent].,No rek 7762329642 atas nama [token-ent].,No rek 7762329642 atas nama [token-ent].,true,true
V15R097,short-person-rek-owner,Rekening 7791466413 atas nama Kevin Nicholas Adiwangsa.,Rekening 7791466413 atas nama [PER1].,Rekening 7791466413 atas nama [token-ent].,Rekening 7791466413 atas nama [token-ent].,Rekening 7791466413 atas nama [token-ent].,true,true
V15R098,short-person-rek-owner,Rekening 7728483641 atas nama Clara.,Rekening 7728483641 atas nama [PER1].,Rekening 7728483641 atas nama [token-ent].,Rekening 7728483641 atas nama [token-ent].,Rekening 7728483641 atas nama [token-ent].,true,true
V15R099,short-person-rek-owner,Rek 7767388734 milik Endang Wicaksono.,Rek 7767388734 milik [PER1].,Rek 7767388734 milik [token-ent].,Rek 7767388734 milik [token-ent].,Rek 7767388734 milik [token-ent].,true,true
V15R100,short-person-rek-owner,No. rek 7767311895 a.n. Budi.,No. rek 7767311895 a.n. Budi.,No. rek 7767311895 a.n. [token-ent].,No. rek 7767311895 a.n. Budi.,No. rek 7767311895 a.n. Budi.,false,false
V15R101,short-person-transfer-noisy,kiyim dana ke Rafael Angelina Kusuma,kiyim dana ke [PER1],kiyim dana ke [token-ent],kiyim dana ke [token-ent],kiyim dana ke [token-ent],true,true
V15R102,short-person-transfer-noisy,kiyim dana ke Dwi,kiyim dana ke [PER1],kiyim dana ke [token-ent],kiyim dana ke [token-ent],kiyim dana ke [token-ent],true,true
V15R103,short-person-transfer-noisy,krm ke William Nasution,krm ke [PER1],krm ke [token-ent],krm ke [token-ent],krm ke [token-ent],true,true
V15R104,short-person-transfer-noisy,krm duit ke Clara Putra,krm duit ke [PER1],krm duit ke [token-ent],krm duit ke [token-ent],krm duit ke [token-ent],true,true
V15R105,short-person-transfer-noisy,tf aja ke Siti Simanjuntak,tf aja ke [PER1],tf aja ke [token-ent],tf aja ke [token-ent],tf aja ke [token-ent],true,true
V15R106,short-person-transfer-noisy,tsfr ke Steven,tsfr ke [PER1],tsfr ke [token-ent],tsfr ke [token-ent],tsfr ke [token-ent],true,true
V15R107,short-person-transfer-noisy,krm ke Slamet,krm ke [PER1],krm ke [token-ent],krm ke [token-ent],krm ke [token-ent],true,true
V15R108,short-person-transfer-noisy,krm duit ke Natasha Warouw,krm duit ke [PER1],krm duit ke [token-ent],krm duit ke [token-ent],krm duit ke [token-ent],true,true
V15R109,short-person-transfer-noisy,kiyim ke Rini,kiyim ke [PER1],kiyim ke [token-ent],kiyim ke [token-ent],kiyim ke [token-ent],true,true
V15R110,short-person-transfer-noisy,tf aja ke William Budiman,tf aja ke [PER1],tf aja ke [token-ent],tf aja ke [token-ent],tf aja ke [token-ent],true,true
V15R111,short-person-transfer-noisy,tsfr ke Felicia Hidayat Baswedan ya,tsfr ke [PER1] ya,tsfr ke [token-ent] ya,tsfr ke [token-ent] ya,tsfr ke [token-ent] ya,true,true
V15R112,short-person-transfer-noisy,kiyim dana ke Tono,kiyim dana ke [PER1],kiyim dana ke [token-ent],kiyim dana ke [token-ent],kiyim dana ke [token-ent],true,true
V15R113,short-person-transfer-noisy,tsfr ke Natasha,tsfr ke [PER1],tsfr ke [token-ent],tsfr ke [token-ent],tsfr ke [token-ent],true,true
V15R114,short-person-transfer-noisy,kiyim ke Budi,kiyim ke [PER1],kiyim ke [token-ent],kiyim ke [token-ent],kiyim ke [token-ent],true,true
V15R115,short-person-transfer-noisy,tf aja ke Rini Wicaksono,tf aja ke [PER1],tf aja ke [token-ent],tf aja ke [token-ent],tf aja ke [token-ent],true,true
V15R116,short-person-transfer-noisy,kiyim dana ke Rini Josephine Surya,kiyim dana ke [PER1],kiyim dana ke [token-ent],kiyim dana ke [token-ent],kiyim dana ke [token-ent],true,true
V15R117,short-person-transfer-noisy,krm duit ke Michael,krm duit ke [PER1],krm duit ke [token-ent],krm duit ke [token-ent],krm duit ke [token-ent],true,true
V15R118,short-person-transfer-noisy,kiyim ke Christian Kartanegara,kiyim ke [PER1],kiyim ke [token-ent],kiyim ke [token-ent],kiyim ke [token-ent],true,true
V15R119,short-person-transfer-noisy,kiyim dana ke Eko,kiyim dana ke [PER1],kiyim dana ke [token-ent],kiyim dana ke [token-ent],kiyim dana ke [token-ent],true,true
V15R120,short-person-transfer-noisy,tsfr ke Christian,tsfr ke [PER1],tsfr ke [token-ent],tsfr ke [token-ent],tsfr ke [token-ent],true,true
V15R121,short-person-roadlike,Nama penerimanya Kyai Haji Mas Mansyur.,Nama penerimanya [PER1].,Nama penerimanya [token-ent].,Nama penerimanya [token-ent].,Nama penerimanya [token-ent].,true,true
V15R122,short-person-roadlike,Pemilik rekening tujuan Teuku Nyak Arief.,Pemilik rekening tujuan [PER1].,Pemilik rekening tujuan [token-ent].,Pemilik rekening tujuan [token-ent].,Pemilik rekening tujuan [token-ent].,true,true
V15R123,short-person-roadlike,Atas nama Haji Nawi.,Atas nama [PER1].,Atas nama [token-ent].,Atas nama [token-ent].,Atas nama [token-ent].,true,true
V15R124,short-person-roadlike,Atas nama Jenderal Basuki Rahmat.,Atas nama [PER1].,Atas nama [token-ent].,Atas nama [token-ent].,Atas nama [token-ent].,true,true
V15R125,short-person-roadlike,Pemilik rekening tujuan Ki Hajar Dewantara.,Pemilik rekening tujuan [PER1].,Pemilik rekening tujuan [token-ent].,Pemilik rekening tujuan [token-ent].,Pemilik rekening tujuan [token-ent].,true,true
V15R126,short-person-roadlike,Nama penerimanya Haji Nawi.,Nama penerimanya [PER1].,Nama penerimanya [token-ent].,Nama penerimanya [token-ent].,Nama penerimanya [token-ent].,true,true
V15R127,short-person-roadlike,Penerima transfernya Sultan Agung.,Penerima transfernya [PER1].,Penerima transfernya [token-ent].,Penerima transfernya [token-ent].,Penerima transfernya [token-ent].,true,true
V15R128,short-person-roadlike,Nama penerimanya Ki Hajar Dewantara.,Nama penerimanya [PER1].,Nama penerimanya [token-ent].,Nama penerimanya [token-ent].,Nama penerimanya [token-ent].,true,true
V15R129,short-person-roadlike,Penerima transfernya Raden Intan.,Penerima transfernya [PER1].,Penerima transfernya [token-ent].,Penerima transfernya [token-ent].,Penerima transfernya [token-ent].,true,true
V15R130,short-person-roadlike,Atas nama Roeslan Abdulgani.,Atas nama [PER1].,Atas nama [token-ent].,Atas nama [token-ent].,Atas nama [token-ent].,true,true
V15R131,short-person-roadlike,Atas nama Fatmawati.,Atas nama [PER1].,Atas nama [token-ent].,Atas nama [token-ent].,Atas nama [token-ent].,true,true
V15R132,short-person-roadlike,Nama penerimanya Abdul Muis.,Nama penerimanya [PER1].,Nama penerimanya [token-ent].,Nama penerimanya [token-ent].,Nama penerimanya [token-ent].,true,true
V15R133,short-person-roadlike,Atas nama Sultan Hasanuddin.,Atas nama [PER1].,Atas nama [token-ent].,Atas nama [token-ent].,Atas nama [token-ent].,true,true
V15R134,short-person-roadlike,Nama pemilik rekeningnya Letnan Jenderal Hertasning.,Nama pemilik rekeningnya [PER1].,Nama pemilik rekeningnya [token-ent].,Nama pemilik rekeningnya [token-ent].,Nama pemilik rekeningnya [token-ent].,true,true
V15R135,short-person-roadlike,Nama pemilik rekeningnya Ki Hajar Dewantara.,Nama pemilik rekeningnya [PER1].,Nama pemilik rekeningnya [token-ent].,Nama pemilik rekeningnya [token-ent].,Nama pemilik rekeningnya [token-ent].,true,true
V15R136,short-person-roadlike,Pemilik rekening tujuan Wage Rudolf Supratman.,Pemilik rekening tujuan [PER1].,Pemilik rekening tujuan [token-ent].,Pemilik rekening tujuan [token-ent].,Pemilik rekening tujuan [token-ent].,true,true
V15R137,short-person-roadlike,Pemilik rekening tujuan Yos Sudarso.,Pemilik rekening tujuan [PER1].,Pemilik rekening tujuan [token-ent].,Pemilik rekening tujuan [token-ent].,Pemilik rekening tujuan [token-ent].,true,true
V15R138,short-person-roadlike,Nama penerimanya Sultan Hasanuddin.,Nama penerimanya [PER1].,Nama penerimanya [token-ent].,Nama penerimanya [token-ent].,Nama penerimanya [token-ent].,true,true
V15R139,short-person-roadlike,Nama pemilik rekeningnya Martha Christina Tiahahu.,Nama pemilik rekeningnya [PER1].,Nama pemilik rekeningnya [token-ent].,Nama pemilik rekeningnya [token-ent].,Nama pemilik rekeningnya [token-ent].,true,true
V15R140,short-person-roadlike,Nama pemilik rekeningnya Dewi Sartika.,Nama pemilik rekeningnya [PER1].,Nama pemilik rekeningnya [token-ent].,Nama pemilik rekeningnya [token-ent].,Nama pemilik rekeningnya [token-ent].,true,true
V15R141,short-address-raw-abbrev,jl Panglima Polim Raya No 21,[LOC1],[token-ent],[token-ent],[token-ent],true,true
V15R142,short-address-raw-abbrev,jln U. Sumoharjo no 83,[LOC1],[token-ent],[token-ent],[token-ent],true,true
V15R143,short-address-raw-abbrev,jl U. Sumoharjo No. 14,[LOC1],[token-ent],[token-ent],[token-ent],true,true
V15R144,short-address-raw-abbrev,jl Sudirman no 78,[LOC1],[token-ent],[token-ent],[token-ent],true,true
V15R145,short-address-raw-abbrev,Jln T. B. Simatupang No 11,[LOC1],[token-ent],[token-ent],[token-ent],true,true
V15R146,short-address-raw-abbrev,Jln. Letnan Jenderal Suprapto no. 20,[LOC1],[token-ent],[token-ent],[token-ent],true,true
V15R147,short-address-raw-abbrev,Jln. Senopati No 96,[LOC1],[token-ent],[token-ent],[token-ent],true,true
V15R148,short-address-raw-abbrev,Jln Dr. Setiabudi no. 99,[LOC1],[token-ent],[token-ent],[token-ent],true,true
V15R149,short-address-raw-abbrev,Jln Merdeka Raya no 67,[LOC1],[token-ent],[token-ent],[token-ent],true,true
V15R150,short-address-raw-abbrev,jl. Mohammad Husni Thamrin No 42,[LOC1],[token-ent],[token-ent],[token-ent],true,true
V15R151,short-address-raw-abbrev,jln. Siliwangi Barat no. 46,[LOC1],[token-ent],[token-ent],[token-ent],true,true
V15R152,short-address-raw-abbrev,jln. Hayam Wuruk No 67,[LOC1],[token-ent],[token-ent],[token-ent],true,true
V15R153,short-address-raw-abbrev,Jln Laksamana Malahayati no 13,[LOC1],[token-ent],[token-ent],[token-ent],true,true
V15R154,short-address-raw-abbrev,jl Dago No 80,[LOC1],[token-ent],[token-ent],[token-ent],true,true
V15R155,short-address-raw-abbrev,jl. Kemang Raya no. 69,[LOC1],[token-ent],[token-ent],[token-ent],true,true
V15R156,short-address-raw-abbrev,gg. Kemang Raya No 17,[LOC1],[token-ent],[token-ent],[token-ent],true,true
V15R157,short-address-raw-abbrev,Gg. Siliwangi Barat No. 73,[LOC1],[token-ent],[token-ent],[token-ent],true,true
V15R158,short-address-raw-abbrev,Gg Cibaduyut no. 76,[LOC1],[token-ent],[token-ent],[token-ent],true,true
V15R159,short-address-raw-abbrev,jl Setiabudi no. 50,[LOC1],[token-ent],[token-ent],[token-ent],true,true
V15R160,short-address-raw-abbrev,jln M. T. Haryono no. 11,[LOC1],[token-ent],[token-ent],[token-ent],true,true
V15R161,short-address-raw-full,Jalan Teuku Umar Nomor 79,[LOC1],[token-ent],[token-ent],[token-ent],true,true
V15R162,short-address-raw-full,Jalan Kapten Pierre Tendean Nomor 27,[LOC1],[token-ent],[token-ent],[token-ent],true,true
